"S.No.","Area","Title","Project Investigator/Institute","Date of Sanction","Duration","Total Cost (In Rs.)"
1740.0,"RAPID - GENERAL BIOTECHNOLOGY","Isolation and characterization of lytic Bacteriophages with special reference to therapeutic application in buffalo [BT/PR15002/GBD/27/281/2010]","Dr. K Lakshmi Kavitha
Sri Venkateswara Veterinary University Tirupati, Andhra Pradesh-517502","07/06/2011","3 Years 0 Month",1915024.0
1741.0,"RAPID - GENERAL BIOTECHNOLOGY","Gene therapy for tumor angiogenesis elucidation of     the molecular mechanisms involved in ?6(IV) NCI     mediated angioinhibitory signal transduction [BT/PR15159/GBD/27/345/2011]","Dr. Smita C Pawar
Osmania University Hyderabad, Andhra Pradesh-500007","08/03/2011","3 Years 0 Month",3387020.0
1742.0,"RAPID - GENERAL BIOTECHNOLOGY","Calcium, Potassium and nitrate Nutrition dependent transcriptomic profiling in rice and its Biotechnological Implication. [BT/PR12671/GBD/27/169/2009]","Dr. Girdhar K Panday
Delhi University, South Campus New Delhi, Delhi-110021","08/10/2009","3 Years 6 Month",2392020.0
1743.0,"RAPID - GENERAL BIOTECHNOLOGY","Molecular mechanism of differentiation of T helper 17 (Th17) cells. [BT/PR13135/GBD/27/203/2009]","Dr. Jyoti  Das
National Institute of Malaria Research New Delhi, Delhi-110077","08/11/2010","3 Years 0 Month",1888020.0
1744.0,"RAPID - GENERAL BIOTECHNOLOGY","Circulating human microbiome and cardiovascular disease. [BT/PR13253/GBD/27/237/2009]","Dr. Jeyaprakash  Rajendhran
Madurai Kamraj University Madurai, Tamilnadu-625021","08/12/2009","3 Years 6 Month",4098016.0
1745.0,"RAPID - GENERAL BIOTECHNOLOGY","Evalution of insulin metabolic gene(s) polymorphisms in the pathogenesis of polycystic ovary syndrome (PCOS). [BT/PR14090/GBD/27/275/2010]","Dr. Bhaskar VKS Lakkakula
Sri Ramachandra Medical College And Research Institute Chennai, Tamilnadu-600116","08/12/2010","3 Years 0 Month",2095800.0
1746.0,"RAPID - GENERAL BIOTECHNOLOGY","Molecular basis of endometriosis: cues from cancer [BT/PR15081/GBD/27/304/2011]","Dr. Archana b Siva
Centre For Cellular And Molecular Biology Hyderabad, Andhra Pradesh-500007","09/03/2011","3 Years 0 Month",2310020.0
1747.0,"RAPID - GENERAL BIOTECHNOLOGY","In vivo analyses of membrane tubulation by CIP4, an F-BAR domain containing protein at the drosophila  motor nerve terminals using optogenetics [BT/PR15163/GBD/27/349/2011]","Dr. Vimlesh  Kumar
Indian Institute of Science Education and Research (IISER), Bhopal Bhopal, Madhya Pradesh-462023","09/03/2011","3 Years 0 Month",2445012.0
1748.0,"RAPID - GENERAL BIOTECHNOLOGY","SSStability and folding of proteins in reverse micelle capsules [BT/PR15029/GBD/27/288/2010]","Dr. N Prakash Prabhu
University of Hyderabad Hyderabad, Andhra Pradesh-500046","09/06/2011","3 Years 0 Month",2725020.0
1749.0,"RAPID - GENERAL BIOTECHNOLOGY","Regulation of Kisspeptin and GnRH  during reproduction in  Labeo rohita under varied environmental conditions. (RGYI) [BT/PR6351/GBD/27/406/2012]","Dr. ASHIS  SAHA
Central Institute of Freshwater Aquaculture Bhubaneswar, Orissa-751002","10/01/2013","3 Years 0 Month",3222200.0
1750.0,"RAPID - GENERAL BIOTECHNOLOGY","Studies on in vitro production of Cycloviolacin O2 (a potent
antimicrobial cyclotide) by hairy root culture of Viola odorata. (RGYI) [BT/PR6829/GBD/27/489/2012]","Dr. Smita  Srivastava
INDIAN INSTITUTE OF TECHNOLOGY, MADRAS Chennai, Tamilnadu-600036","10/01/2013","3 Years 0 Month",1710000.0
1751.0,"RAPID - GENERAL BIOTECHNOLOGY","Role of adiponection on the integrity of Blood retinal barrier during diabetic retinopathy using an in vitro  3D cell culture model [BT/PR15023/GBD/27/282/2010]","Dr. C  Subbulakshmi
Vision Research Foundation Chennai, Tamilnadu-600006","10/02/2011","3 Years 0 Month",2101020.0
1752.0,"RAPID - GENERAL BIOTECHNOLOGY","Thiamin responsive megaloblastic anemia (TRMA) in Indian population: Identification and functional characterization of SLC19A2 mutations and microRNAs [BT/PR15134/GBD/27/330/2011]","Dr. Ashok Kumar  Balasubramaniem
Madurai Kamraj University Madurai, Tamilnadu-625021","10/03/2011","3 Years 0 Month",2773016.0
1753.0,"RAPID - GENERAL BIOTECHNOLOGY","Development of wide compatible restorers in rice through marker-assisted backcross breeding (RGYI) [BT/PR6091/GBD/27/376/2012]","Dr. K  Sakthivel
Tamilnadu Agricultural University Coimbatore, Tamilnadu-641003","10/09/2012","3 Years 0 Month",1797200.0
1754.0,"RAPID - GENERAL BIOTECHNOLOGY","Nanobead based novel strategies for the efficient delivery of drug molecules for the treatment of tuberculosis [BT/PR13488/GBD/27/270/2010]","Dr. Avinash  Sonawane
Kalinga Institute Of Industrial Technology Bhubaneswar, Orissa-751024","11/05/2010","3 Years 0 Month",3088016.0
1755.0,"RAPID - GENERAL BIOTECHNOLOGY","Interspecific gene transfer and molecular tagging of Botrytis Gray Mould resistance genes in chickpea [BT/PR13371/GBD/27/255/2009]","Dr. Asmita  Sirari
Punjab Agricultural University Ludhiana, Punjab-141004","11/05/2010","3 Years 0 Month",2076024.0
1756.0,"RAPID - GENERAL BIOTECHNOLOGY","From toxins to therapeutics: Investigating the structure-functions relationships of toxins from snake venoms [BT/PR13378/GBD/27/262/2009]","Dr. T  Sivaraman
SASTRA University Thanjavur, Tamilnadu-613401","11/05/2010","3 Years 0 Month",1051012.0
1757.0,"RAPID - GENERAL BIOTECHNOLOGY","Regulation of protein translation during the infection of Kaposi's sarcoma herpesvirus/human herpesvirus-8 [BT/PR13176/GBD/27/210/2009]","Dr. KRISHNAN H HARSHAN
Centre For Cellular And Molecular Biology Hyderabad, Andhra Pradesh-500007","11/06/2010","3 Years 0 Month",1901024.0
1758.0,"RAPID - GENERAL BIOTECHNOLOGY","Drugs against central body fatness and insulin resistance (high peri/post-menopausal
prevalence). (RGYI) [BT/PR6306/GBD/27/398/2012]","Dr. Jiaur Rahaman Gayen
Central Drug Research Institute Lucknow, Uttar Pradesh-226001","11/09/2012","3 Years 0 Month",3448000.0
1759.0,"RAPID - GENERAL BIOTECHNOLOGY","Identification of ovule and embryosac specific promoters and their validation in transgenic Cenchrus ciliaris. [BT/PR6008/GBD/27/384/2012]","Dr. Krishna Kumar Dwivedi
INDIAN GRASSLAND AND FODDER RESEARCH INSTITUTE Jhansi, Uttar Pradesh-284003","11/09/2012","3 Years 0 Month",2891000.0
1760.0,"RAPID - GENERAL BIOTECHNOLOGY","Exploration of microbial diversity (culturable) associated with Tea Rhizosphere Soil of Assam and Darjeeling (WB), and utilization for the production of plant growth promoting substances and bio-control of prominent fungal diseases and pests in tea. [BT/PR6011/GBD/27/379/2012]","Dr. Debajit  Thakur
INSTITUTE OF ADVANCED STUDY IN SCIENCE & TECHNOLOGY Guwahati, Assam-781035","11/09/2012","3 Years 0 Month",3882000.0
1761.0,"RAPID - GENERAL BIOTECHNOLOGY","Systems Biology of Metabolic Network of L.major: Therapeutic Implications (RGYI) [BT/PR6037/GBD/27/372/2012]","Dr. Shailza  Singh
National Centre For Cell Science Pune, Maharashtra-411007","11/09/2012","3 Years 0 Month",2092600.0
1762.0,"RAPID - GENERAL BIOTECHNOLOGY","Development of a novel magnetic tweezer to measure torque in bacterial flagellar motor (RGYI) [BT/PR6545/GBD/27/469/2012]","Dr. Ravikrishnan  Elangovan
INDIAN INSTITUTE OF TECHNOLOGY, DELHI New Delhi, Delhi-110016","12/02/2013","3 Years 0 Month",3000000.0
1763.0,"RAPID - GENERAL BIOTECHNOLOGY","Identification and molecular characterization of Hemocyte specific Immune modulators from Indian malaria vector Anopheles culicifacies. (RGYI) [BT/PR6500/GBD/27/421/2012]","Dr. RAJNIKANT  DIXIT
National Institute of Malaria Research New Delhi, Delhi-110077","12/02/2013","3 Years 0 Month",3640000.0
1764.0,"RAPID - GENERAL BIOTECHNOLOGY","A reverse genetics system for bluetongue virus [BT/PR13122/GBD/27/190/2009]","Dr. Paduranga Rao Pavuluri
Bharat Biotech Foundation Hyderabad, Andhra Pradesh-500078","12/05/2010","3 Years 0 Month",2904012.0
1765.0,"RAPID - GENERAL BIOTECHNOLOGY","Screening of toxal-producing endophytic fungi from the medicinal plants using 10-deacetylbaccatin III- 10-O-accetyItransferase (DBAT) and C-13 phenylpropanoid side chain-CoA acyltransferase (BAPT) [BT/PR13380/GBD/27/264/2009]","Dr. V  Gangadevi
Madurai Kamraj University Madurai, Tamilnadu-625021","12/05/2010","3 Years 0 Month",1484012.0
1766.0,"RAPID - GENERAL BIOTECHNOLOGY","Isolation characterization and multiplication of bio agents for management of wilt diseases in solaneaceous crops of Jammu [BT/PR13114/GBD/27/182/2009]","Dr. Sachin  Gupta
Sher-E-Kashmir University of Agricultural Sciences & Technology of Jammu Srinagar, Jammu And Kashmir-191121","12/05/2010","3 Years 0 Month",1135800.0
1767.0,"RAPID - GENERAL BIOTECHNOLOGY","Role of glutathione as a protective mechanism  against alcohol and high glucose induced oxidative stress and toxicity in VL-17A liver cells [BT/PR13115/GBD/27/183/2009]","Dr. Aparajita  Dey
Anna University Chennai, Tamilnadu-600025","12/11/2009","3 Years 6 Month",1862020.0
1768.0,"RAPID - GENERAL BIOTECHNOLOGY","Mimicking Antimicrobial and Fouling-resistant Nature of Proteinaceous Biomaterials by Synthetic Polymers of Halogenated Imidazoles [BT/PR15143/GBD/27/334/2011]","Dr. Aasheesh  Srivastava
Indian Institute of Science Education and Research (IISER), Bhopal Bhopal, Madhya Pradesh-462023","14/03/2011","3 Years 0 Month",1841000.0
1769.0,"RAPID - GENERAL BIOTECHNOLOGY","Studies on Mycobacterium tuberculosis homolog of universally conserved predicted glycoprotease (GCP) and its associated proteins implied essential for survival and genome maintenance from prokaryotes to eukaryotes [BT/PR15106/GBD/27/317/2011]","Dr. Alka  Rao
INSTITUTE OF MICROBIAL TECHNOLOGY Chandigarh, Chandigarh-160036","14/03/2011","3 Years 0 Month",2269000.0
1770.0,"RAPID - GENERAL BIOTECHNOLOGY","Combination therapy in ischemic stroke: Evaluation of synergistic neuro protective effects of paroxetine and everolimus [BT/PR15112/GBD/27/323/2011]","Dr. Rajanikant G K
National Institute of Technology, Calicut Calicut, Kerala-673601","14/03/2011","3 Years 0 Month",1392000.0
1771.0,"RAPID - GENERAL BIOTECHNOLOGY","In vitro embryo production from preantral follicles in Goats (Capra hircus) [BT/PR15089/GBD/27/308/2011]","Dr. G Aruna Kumari
Sri Venkateswara Veterinary University Tirupati, Andhra Pradesh-517502","14/03/2011","3 Years 0 Month",2793012.0
1772.0,"RAPID - GENERAL BIOTECHNOLOGY","Role of candidate genes in esophageal carcinogenesis: Polymorphisms, altered methylation and expression [BT/PR15030/GBD/27/289/2011]","Dr. Vasavi  Mohan
Vasavi Medical And Research Centre Hyderabad, Andhra Pradesh-500004","14/03/2011","3 Years 0 Month",1610012.0
1773.0,"RAPID - GENERAL BIOTECHNOLOGY","Interaction of Phosphotidyl Inositol with Phox Homology (PX) Domain: Elucidation of Mechnanistic Principal and Strategies for Therapeutic Intervention. [BT/PR13309/GBD/27/244/2009]","Dr. Debasis  Manna
INDIAN INSTITUTE OF TECHNOLOGY, KHARAGPUR Kharagpur, Assam-721302","15/01/2010","3 Years 6 Month",1485036.0
1774.0,"RAPID - GENERAL BIOTECHNOLOGY","Development and evaluation of sero-diagnostic assay for timely
diagnosis and prognosis of mammary tumors. (RGYI) [BT/PR6434/GBD/27/414/2012]","Dr. B V Sunil Kumar
Guru Angad Dev Veterinary and Animal Science University Ludhiana, Punjab-141001","15/01/2013","3 Years 0 Month",1990000.0
1775.0,"RAPID - GENERAL BIOTECHNOLOGY","Enrichment of human limbal epithelial stem cells to understand the stem cell related properties by whole genome analysis and p63 isoform expression profile [BT/PR15172/GBD/27/355/2011]","Dr. Gowri Priya Chindambaranthan
Aravind Eye Hospital & Aravind Medical Research Foundation Madurai, Tamilnadu-625020","15/03/2011","3 Years 0 Month",2042004.0
1776.0,"RAPID - GENERAL BIOTECHNOLOGY","Role of Rho GTPase RhoA on interaction between human mesenchymal stem cells and hematopoietic  stem cells [BT/PR15091/GBD/27/310/2011]","Dr. Bithiah Grace Jaganathan
INDIAN INSTITUTE OF TECHNOLOGY, GUWAHATI Guwahati, Assam-781039","15/03/2011","3 Years 0 Month",3926012.0
1777.0,"RAPID - GENERAL BIOTECHNOLOGY","Modulation of micro RNA and protein signatures in helpatocellular carcinoma by chemo preventive phytochemical. [BT/PR13157/GBD/27/210/2009]","Dr. Sujit  Nair
Amrita Institute Of Medical Sciences And Research Center Cochin, Kerala-682026","15/06/2010","3 Years 0 Month",3774012.0
1778.0,"RAPID - GENERAL BIOTECHNOLOGY","Role of alternative sigma factors in gene regulation of  Mycobacterium tuberculosis. [BT/PR13178/GBD/27/212/2009]","Dr. Jayanta  Mukhopadhyay
Bose Institute Kolkata, West Bengal-700054","15/06/2010","3 Years 0 Month",4472024.0
1779.0,"RAPID - GENERAL BIOTECHNOLOGY","Validating the genetic & epigenetic regulation of pancreatitis & pancreatic adenocarcinoma under environmental stress [BT/PR13133/GBD/27/201/2009]","Dr. Pradyumna Kumar Mishra
Advanced Centre For Treatment Research & Education In Cancer Mumbai, Maharashtra-410210","15/07/2010","3 Years 0 Month",1525012.0
1780.0,"RAPID - GENERAL BIOTECHNOLOGY","Studies on molecular phylogeny of bats (Mammalia: Chiroptera) of Andhra Pradesh based on partial sequences of mitochondrial Cyt b, 12S and 16S rRNA genes [BT/PR13116/GBD/27/184/2009]","Dr. C  Srinivasulu
Osmania University Hyderabad, Andhra Pradesh-500007","15/10/2009","3 Years 6 Month",1173012.0
1781.0,"RAPID - GENERAL BIOTECHNOLOGY","Epigenetic assessment of gallbladder cancer [BT/PR15105/GBD/27/316/2011]","Dr. Mallika  Tewari
Banaras Hindu University Varanasi, Uttar Pradesh-221005","16/03/2011","3 Years 0 Month",1059016.0
1782.0,"RAPID - GENERAL BIOTECHNOLOGY","Role of human umbilical cord blood stem cells and neural stem cells in neuronal regeneration and functional restoration: A comparative study in male adult rats with acute spinal cord injuries [BT/PR15144/GBD/27/335/2011]","Dr. Sumit  Sinha
All India Institute Of Medical Sciences New Delhi, Delhi-110029","16/06/2011","3 Years 0 Month",3020024.0
1783.0,"RAPID - GENERAL BIOTECHNOLOGY","Role of aldose reductase in retinal pigment epithelium- an understanding towards the pathogenesis of diabetic retinopathy [BT/PR15141/GBD/27/332/2011]","Dr. S  Senthilkumari
Aravind Eye Hospital & Aravind Medical Research Foundation Madurai, Tamilnadu-625020","16/06/2011","3 Years 0 Month",2203024.0
1784.0,"RAPID - GENERAL BIOTECHNOLOGY","Exploitation of diversity of wood rotting fungi from melhgat forest for biotechnological application [BT/PR15145/GBD/27/336/2011]","Mr. Amit G Deshmukh
Dr. Panjabrao Deshmukh Krishi Vidyapeeth Akola, Maharashtra-444104","16/06/2011","3 Years 0 Month",1376012.0
1785.0,"RAPID - GENERAL BIOTECHNOLOGY","SStructure-function studies on a conserved essential malaria parasite protein containing PEXEL motif [BT/PR15167/GBD/27/353/2011]","Dr. Prakash Chandra Mishra
Guru Nanak Dev University Amritsar, Punjab-143001","16/06/2011","3 Years 0 Month",2648016.0
1786.0,"RAPID - GENERAL BIOTECHNOLOGY","Development of Diagnostic assays based on recombinant antigens for pasteurellosis in livestock [BT/PR15174/GBD/27/357/2011]","Dr. Sathish B Shivachandra
INDIAN VETERINARY RESEARCH INSTITUTE- UTTARAKHAND Nainital, Uttarakhand-263138","16/06/2011","3 Years 0 Month",2786024.0
1787.0,"RAPID - GENERAL BIOTECHNOLOGY","Intermediates of calcium signal process as oocytes activating agents and development of an optimum culture medium of mouse parthenotes [BT/PR15130/GBD/27/328/2011]","Dr. Guruprasad  Kalthur
Kasturba Medical College Manipal, Karnataka-576104","16/06/2011","3 Years 0 Month",1012020.0
1788.0,"RAPID - GENERAL BIOTECHNOLOGY","Preparation and evaluation of nanoparticulate sunscreen containing plant based polyphenols [BT/PR15147/GBD/27/338/2011]","Dr. Srinvas  Mutalik
Manipal College of Pharamaceutical Sciences Manipal, Karnataka-576104","16/06/2011","3 Years 0 Month",2717024.0
1789.0,"RAPID - GENERAL BIOTECHNOLOGY","Studies on association between biofilm formation and quorum sensing autoinducer in potential marine for enhanced utilization in bioremediation [BT/PR14998/GBD/27/279/2010]","Dr. Surajit  Das
National Institute of Technology, Rourkela Rourkela orrisa, Orissa-769008","16/06/2011","3 Years 0 Month",2688012.0
1790.0,"RAPID - GENERAL BIOTECHNOLOGY","Sequence based molecular characterization of rare and closely related candida species from imunocompromised patients targeting the ribosomal DNA [BT/PR15160/GBD/27/346/2011]","Dr. K  Umamaheshwari
University of Madras Chennai, Tamilnadu-600005","16/06/2011","3 Years 0 Month",2371000.0
1791.0,"RAPID - GENERAL BIOTECHNOLOGY","Edentulism: A cause of nutritional deficiency in elderly women [BT/PR15153/GBD/27/343/2011]","Dr. Balendra Pratap Singh
C.S.M. Medical University, Lucknow Lucknow, Uttar Pradesh-226003","17/06/2011","3 Years 0 Month",1738016.0
1792.0,"RAPID - GENERAL BIOTECHNOLOGY","Mechanism of Epstein Barr Virus (EBV) latency control by inflammation [BT/PR15109/GBD/27/320/2011]","Dr. Rajeev  Kaul
Delhi University, South Campus New Delhi, Delhi-110021","17/06/2011","3 Years 0 Month",4055004.0
1793.0,"RAPID - GENERAL BIOTECHNOLOGY","Analysis or role of mycothiol and thioredox in maintaining redox homeostasis of mycobacteria using novel RoGFP based redox measuring tool [BT/PR15086/GBD/27/307/2011]","Dr. Ashwin  Kumar
INSTITUTE OF MICROBIAL TECHNOLOGY Chandigarh, Chandigarh-160036","17/06/2011","3 Years 0 Month",2548000.0
1794.0,"RAPID - GENERAL BIOTECHNOLOGY","Molecular signatures specifying cancer stem cell-like cells from oral squamous cell carcinoma and their relevance in chemo resistance [BT/PR15027/GBD/27/286/2010]","Dr. Amritha  Suresh
Narayana Hrudayalaya Foundation Bangalore, Karnataka-560099","17/06/2011","3 Years 0 Month",2593012.0
1795.0,"RAPID - GENERAL BIOTECHNOLOGY","Autophagic cell death induction with Abrus agglutinin [BT/PR15090/GBD/27/309/2011]","Dr. Sujit Kumar Bhutia
National Institute of Technology, Rourkela Rourkela orrisa, Orissa-769008","17/06/2011","3 Years 0 Month",3106012.0
1796.0,"RAPID - GENERAL BIOTECHNOLOGY","Design of Oral delivery system for macromolecules using gastrointestinal patch system: Role of fatty acid as penetration enhancer (RGYI) [BT/PR6541/GBD/27/438/2012]","Dr. Manju  Misra
B.V. Patel Pharmaceutical Education and Research Development Centre Ahmedabad, Gujarat-380054","17/12/2012","3 Years 0 Month",2554400.0
